id;name;is_active;country_ids
1;"Magyar Posta: Magyarország";1;"102"
2;"Magyar Posta: 1. zóna";1;"15,22,57,61,62,78,80,85,122,128,129,155,182,195,196"
3;"Magyar Posta: 2. zóna";1;"35,60,71,77,88,108,111,136,145,178,203,215"
4;"Magyar Posta: 3. zóna";1;"3,6,16,21,28,75,87,164,84,89,103,127,144,147,237,12,166,183,186,190,216,228,235,242"
5;"Magyar Posta: 4. zóna";1;"46,40,67,106,107,110,115,119,123,126,149,167,168,180,188,202,212,217,227,229,236,247"
6;"Magyar Posta: 5. zóna";1;"238,11,19,27,31,34,66,101,104,105,112,113,47,50,163,201,218,222,33,58,133,142,146,154,173,174,179,193,204,221,233,239,243,244,245"
7;"Magyar Posta: 6. zóna";1;"1,4,5,7,8,10,13,14,17,18,20,23,24,25,26,29,36,37,45,51,54,55,59,96,63,64,65,199,69,70,72,73,74,76,80,82,83,90,97,175,38,39,43,52,53,91,92,93,95,98,100,116,117,118,44,121,124,125,130,131,132,134,135,137,138,139,140,141,148,150,151,165,152,153,158,159,160,161,162,169,171,172,176,181,184,68,185,187,189,191,192,194,197,206,207,208,210,211,213,198,219,220,223,224,225,226,230,231,156,157,234,240,241,248,41,249"
